,transaction_date,owner,ticker,asset_type,type,amount,senator,est_amt,5_day_pct_change,15_day_pct_change,30_day_pct_change
78,4/5/2019,Spouse,NVS,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,-0.04726202,-0.036694523,-0.026245684
79,10/16/2020,Child,NVDA,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,-0.016019305,0.054338615,-0.029685489
80,10/16/2020,Child,WDAY,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,-0.023142286,-0.01939419,-0.020309452
81,10/16/2020,Child,NVDA,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,-0.016019305,0.054338615,-0.029685489
82,10/16/2020,Child,WDAY,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,-0.023142286,-0.01939419,-0.020309452
83,10/16/2020,Child,NVDA,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,-0.016019305,0.054338615,-0.029685489
84,10/16/2020,Child,WDAY,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,-0.023142286,-0.01939419,-0.020309452
87,10/13/2020,Spouse,BBY,Stock,Sale,"$1,001 - $15,000",Pat Roberts,-8000.5,0.02267152,0.005160313,-0.039505949
88,10/13/2020,Spouse,NVAX,Stock,Sale,"$1,001 - $15,000",Pat Roberts,-8000.5,-0.161323315,-0.286834923,-0.187158912
90,10/30/2020,Spouse,IJR,Other Securities,Sale,"$1,001 - $15,000",Thomas R Carper,-8000.5,0.056789838,0.164676495,
93,9/9/2020,Joint,CB,Stock,Sale,"$15,001 - $50,000",Sheldon Whitehouse,-32500.5,-0.029700605,-0.043619635,0.056037622
94,9/30/2020,Joint,TT,Stock,Sale,"$15,001 - $50,000",Sheldon Whitehouse,-32500.5,0.055175262,0.062845342,0.179051574
95,9/30/2020,Self,TT,Stock,Sale,"$15,001 - $50,000",Sheldon Whitehouse,-32500.5,0.055175262,0.062845342,0.179051574
97,9/11/2020,Spouse,AAPL,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,-0.046071449,0.00910713,0.027142883
98,9/14/2020,Child,NFLX,Stock,Sale,"$1,001 - $15,000",Ron L Wyden,-8000.5,0.023285592,0.093205421,0.025154286
99,9/14/2020,Child,NFLX,Stock,Sale,"$1,001 - $15,000",Ron L Wyden,-8000.5,0.023285592,0.093205421,0.025154286
100,9/23/2020,Child,NFLX,Stock,Sale,"$1,001 - $15,000",Ron L Wyden,-8000.5,0.062514639,0.1505281,0.05596997
103,9/24/2020,Spouse,LDP,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,8000.5,0.000853614,0.014185075,0.034365709
104,9/22/2020,Spouse,LDP,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,8000.5,-0.039435497,-0.006919011,-0.014435998
105,9/22/2020,Spouse,WIW,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,8000.5,-0.023580712,-0.001746744,-0.004314525
106,9/22/2020,Spouse,ATOAX,Other Securities,Purchase,"$15,001 - $50,000",Thomas R Carper,32500.5,0,9.92E-05,0.000198336
107,9/4/2020,Spouse,BA,Stock,Sale,"$15,001 - $50,000",Pat Roberts,-32500.5,-0.033323571,-0.029055838,-0.023034214
108,9/4/2020,Spouse,WMT,Stock,Sale,"$1,001 - $15,000",Pat Roberts,-8000.5,,,
109,9/17/2020,Spouse,AAPL,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,8000.5,-0.019213336,0.041961199,0.0451332
110,9/14/2020,Spouse,NVDA,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,-0.027578812,0.059837905,0.020897574
111,9/11/2020,Spouse,AAPL,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,8000.5,-0.046071449,0.00910713,0.027142883
112,9/9/2020,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,-0.044237976,-0.012870791,-0.00383561
113,9/4/2020,Spouse,NVDA,Stock,Sale,"$15,001 - $50,000",Pat Roberts,-32500.5,0.019786178,0.03267978,0.06934035
114,9/4/2020,Spouse,NFLX,Stock,Purchase,"$50,001 - $100,000",Pat Roberts,75000.5,-0.077104891,-0.049220026,0.028427446
115,9/4/2020,Spouse,NVDA,Stock,Purchase,"$50,001 - $100,000",Pat Roberts,75000.5,0.019786178,0.03267978,0.06934035
116,9/4/2020,Spouse,NFLX,Stock,Sale,"$50,001 - $100,000",Pat Roberts,-75000.5,-0.077104891,-0.049220026,0.028427446
117,9/4/2020,Spouse,BYND,Stock,Sale,"$1,001 - $15,000",Pat Roberts,-8000.5,0.137974829,0.202511552,0.463519312
118,9/4/2020,Spouse,NVDA,Stock,Sale,"$15,001 - $50,000",Pat Roberts,-32500.5,0.019786178,0.03267978,0.06934035
119,9/3/2020,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,-0.073461238,-0.071144888,-0.015387159
120,9/2/2020,Spouse,AAPL,Stock,Purchase,"$50,001 - $100,000",Pat Roberts,75000.5,-0.136301344,-0.176407903,-0.081354615
121,9/1/2020,Spouse,TSLA,Stock,Sale,"$50,001 - $100,000",Pat Roberts,-75000.5,-0.228965355,-0.199326397,-0.028944322
122,9/4/2020,Spouse,NVDA,Stock,Sale,"$15,001 - $50,000",Pat Roberts,-32500.5,0.019786178,0.03267978,0.06934035
123,9/16/2020,Spouse,W,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,0.066032162,0.146936425,0.051234381
124,9/9/2020,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,-0.044237976,-0.012870791,-0.00383561
125,9/9/2020,Spouse,ZM,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,0.047529885,0.206492988,0.317053793
126,9/4/2020,Spouse,MSFT,Stock,Sale,"$50,001 - $100,000",Pat Roberts,-75000.5,-0.041260247,-0.022450406,-0.000140027
127,9/3/2020,Spouse,MSFT,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,-0.061067658,-0.043626323,0.010860554
128,9/3/2020,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,32500.5,-0.073461238,-0.071144888,-0.015387159
140,9/2/2020,Spouse,W,Stock,Sale,"$50,001 - $100,000",Ron L Wyden,-75000.5,-0.118583682,-0.054461899,-0.007361485
141,9/2/2020,Spouse,AAPL,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,75000.5,-0.136301344,-0.176407903,-0.081354615
142,9/1/2020,Spouse,AMZN,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,32500.5,-0.065876564,-0.142681587,-0.038698345
143,8/27/2020,Spouse,AAPL,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,75000.5,-0.033037415,-0.1453484,-0.064314859
144,8/27/2020,Spouse,AMWD,Stock,Sale,"$1,001 - $15,000",Ron L Wyden,-8000.5,-0.044515887,-0.099931234,0.053694269
145,8/26/2020,Spouse,IRBT,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,0.024587984,0.018179432,0.131310503
146,8/25/2020,Spouse,UPS,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,75000.5,0.022698689,0.005218794,0.100289266
147,8/25/2020,Spouse,FDX,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,32500.5,0.052027485,0.171274854,0.255318418
148,8/24/2020,Spouse,W,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,75000.5,-0.122603558,-0.200177526,-0.124970385
149,8/24/2020,Spouse,SQ,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,32500.5,0.051189173,0.017853659,0.155148587
150,8/24/2020,Spouse,KR,Stock,Sale,"$50,001 - $100,000",Ron L Wyden,-75000.5,-0.010538102,-0.092623424,-0.058513663
151,8/24/2020,Spouse,CLX,Stock,Sale,"$1,001 - $15,000",Ron L Wyden,-8000.5,0.001658245,-0.06068211,-0.05369066
152,8/24/2020,Spouse,AMWD,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,8000.5,-0.080302706,-0.104372508,-0.072524717
153,8/19/2020,Spouse,SBUX,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.061574272,0.093391735,0.117351575
154,8/19/2020,Spouse,MSFT,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.05460183,-0.020648554,0.01316173
155,8/19/2020,Spouse,LOW,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.076509988,0.000315937,0.056166288
156,8/19/2020,Spouse,IBM,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.002664696,-0.026485834,-0.022206071
157,8/19/2020,Spouse,DIS,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.034515114,0.042654807,-0.034906466
158,8/19/2020,Spouse,CMCSA,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.020313987,0.016158863,0.072022173
159,8/19/2020,Spouse,CSCO,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.009075682,-0.054931951,-0.064774851
160,8/19/2020,Spouse,AAPL,Stock,Sale,"$1,001 - $15,000",William Cassidy,-8000.5,0.093468494,-0.019164666,0.009355548
161,8/18/2020,Spouse,VZ,Stock,Purchase,"$1,001 - $15,000","Angus S King, Jr.",8000.5,0.004055441,0.014531952,0.005238244
162,8/18/2020,Spouse,SLB,Stock,Sale,"$1,001 - $15,000","Angus S King, Jr.",-8000.5,-0.025796701,-0.052444102,-0.207739401
163,8/18/2020,Spouse,XOM,Stock,Sale,"$1,001 - $15,000","Angus S King, Jr.",-8000.5,-0.036530755,-0.105585633,-0.190902663
164,8/18/2020,Spouse,COP,Stock,Sale,"$1,001 - $15,000","Angus S King, Jr.",-8000.5,-0.036697394,-0.145549322,-0.18571785
165,9/2/2020,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",8000.5,-0.025234031,-0.050875068,-0.065934086
